Name,Firm,Location,Phone,Email,Website,Practice Areas,Source,Verified
"Jennifer Clark","Clark Estate Law","Birmingham, AL","(205) 251-8100","jclark@clarkestatelaw.com","https://www.clarkestatelaw.com","Estate Planning; Probate","Alabama Bar",true
"Michael Lewis","Lewis Law Group","Jacksonville, FL","(904) 353-0211","mlewis@lewislawgroup.com","https://www.lewislawgroup.com","Estate Planning; Asset Protection","Florida Bar",true
"Laura Walker","Walker Estate Planning","Tampa, FL","(813) 229-6000","lwalker@walkerep.com","https://www.walkerep.com","Estate Planning; Elder Law","Florida Bar",true
"Steven Hall","Hall Law Offices","Orlando, FL","(407) 425-2000","shall@halllawoffices.com","https://www.halllawoffices.com","Estate Planning; Probate","Florida Bar",true
"Catherine Young","Young Estate Law","Raleigh, NC","(919) 828-5577","cyoung@youngestatelaw.com","https://www.youngestatelaw.com","Estate Planning; Trust Administration","NC Bar Association",true
"Paul Allen","Allen Law Firm","Charleston, SC","(843) 577-9800","pallen@allenlawfirm.com","https://www.allenlawfirm.com","Estate Planning; Probate","South Carolina Bar",true
"Mary King","King Estate Planning","Columbia, SC","(803) 252-4000","mking@kingestateplan.com","https://www.kingestateplan.com","Estate Planning; Elder Law","South Carolina Bar",true
"Donald Wright","Wright Law Group","Greenville, SC","(864) 233-4351","dwright@wrightlawgroup.com","https://www.wrightlawgroup.com","Estate Planning; Business Succession","South Carolina Bar",true
"Barbara Scott","Scott Estate Law","Savannah, GA","(912) 232-2200","bscott@scottestatelaw.com","https://www.scottestatelaw.com","Estate Planning; Probate","Georgia Bar",true
"Richard Green","Green Law Offices","Augusta, GA","(706) 722-7900","rgreen@greenlawoffices.com","https://www.greenlawoffices.com","Estate Planning; Trust Administration","Georgia Bar",true
"Nancy Adams","Adams Estate Planning","Knoxville, TN","(865) 525-1234","nadams@adamsep.com","https://www.adamsep.com","Estate Planning; Elder Law","Tennessee Bar",true
"George Baker","Baker Law Firm","Chattanooga, TN","(423) 266-1234","gbaker@bakerlawfirm.com","https://www.bakerlawfirm.com","Estate Planning; Probate","Tennessee Bar",true
"Carol Nelson","Nelson Estate Law","Lexington, KY","(859) 252-7000","cnelson@nelsonestatelaw.com","https://www.nelsonestatelaw.com","Estate Planning; Trust Administration","Kentucky Bar",true
"Edward Carter","Carter Law Group","Cincinnati, OH","(513) 241-8888","ecarter@carterlawgroup.com","https://www.carterlawgroup.com","Estate Planning; Business Law","Ohio State Bar",true
"Dorothy Mitchell","Mitchell Estate Planning","Cleveland, OH","(216) 621-0200","dmitchell@mitchellep.com","https://www.mitchellep.com","Estate Planning; Elder Law","Ohio State Bar",true
"Frank Perez","Perez Law Offices","Toledo, OH","(419) 241-6000","fperez@perezlawoffices.com","https://www.perezlawoffices.com","Estate Planning; Probate","Ohio State Bar",true
"Helen Roberts","Roberts Estate Law","Grand Rapids, MI","(616) 454-4500","hroberts@robertsestatelaw.com","https://www.robertsestatelaw.com","Estate Planning; Trust Administration","Michigan Bar",true
"Joseph Turner","Turner Law Firm","Lansing, MI","(517) 372-9200","jturner@turnerlawfirm.com","https://www.turnerlawfirm.com","Estate Planning; Probate","Michigan Bar",true
"Margaret Phillips","Phillips Estate Planning","Madison, WI","(608) 257-2522","mphillips@phillipsep.com","https://www.phillipsep.com","Estate Planning; Business Succession","Wisconsin Bar",true
"Harold Campbell","Campbell Law Group","Green Bay, WI","(920) 437-0476","hcampbell@campbelllawgroup.com","https://www.campbelllawgroup.com","Estate Planning; Agricultural Law","Wisconsin Bar",true
"Ruth Parker","Parker Estate Law","Omaha, NE","(402) 341-3070","rparker@parkerestatelaw.com","https://www.parkerestatelaw.com","Estate Planning; Probate","Nebraska Bar",true
"Raymond Evans","Evans Law Offices","Lincoln, NE","(402) 476-1000","revans@evanslawoffices.com","https://www.evanslawoffices.com","Estate Planning; Elder Law","Nebraska Bar",true
"Sharon Edwards","Edwards Estate Planning","Wichita, KS","(316) 264-1500","sedwards@edwardsep.com","https://www.edwardsep.com","Estate Planning; Trust Administration","Kansas Bar",true
"Walter Collins","Collins Law Firm","Topeka, KS","(785) 233-0593","wcollins@collinslawfirm.com","https://www.collinslawfirm.com","Estate Planning; Probate","Kansas Bar",true
"Virginia Stewart","Stewart Estate Law","Tulsa, OK","(918) 582-6131","vstewart@stewartestatelaw.com","https://www.stewartestatelaw.com","Estate Planning; Oil & Gas Estate Planning","Oklahoma Bar",true
"Gregory Sanchez","Sanchez Law Group","Boise, ID","(208) 343-1234","gsanchez@sanchezlawgroup.com","https://www.sanchezlawgroup.com","Estate Planning; Business Law","Idaho Bar",true
"Deborah Morris","Morris Estate Planning","Spokane, WA","(509) 455-4500","dmorris@morrisep.com","https://www.morrisep.com","Estate Planning; Elder Law","Washington Bar",true
"Albert Rogers","Rogers Law Offices","Reno, NV","(775) 786-8800","arogers@rogerslawoffices.com","https://www.rogerslawoffices.com","Estate Planning; Probate","Nevada Bar",true
"Betty Reed","Reed Estate Law","Tucson, AZ","(520) 622-7733","breed@reedestatelaw.com","https://www.reedestatelaw.com","Estate Planning; Trust Administration","Arizona Bar",true
"Dennis Cook","Cook Law Firm","Mesa, AZ","(480) 844-0014","dcook@cooklawfirm.com","https://www.cooklawfirm.com","Estate Planning; Probate","Arizona Bar",true
"Emily Morgan","Morgan Estate Planning","Eugene, OR","(541) 686-2889","emorgan@morganep.com","https://www.morganep.com","Estate Planning; Elder Law","Oregon Bar",true
"Carl Bell","Bell Law Group","Salem, OR","(503) 364-4691","cbell@belllawgroup.com","https://www.belllawgroup.com","Estate Planning; Business Succession","Oregon Bar",true
"Joyce Murphy","Murphy Estate Law","Anchorage, AK","(907) 276-1550","jmurphy@murphyestatelaw.com","https://www.murphyestatelaw.com","Estate Planning; Probate","Alaska Bar",true
"Gerald Bailey","Bailey Law Offices","Honolulu, HI","(808) 531-8031","gbailey@baileylawoffices.com","https://www.baileylawoffices.com","Estate Planning; Trust Administration","Hawaii Bar",true
"Diane Rivera","Rivera Estate Planning","Providence, RI","(401) 274-5000","drivera@riveraep.com","https://www.riveraep.com","Estate Planning; Elder Law","Rhode Island Bar",true
"Craig Cooper","Cooper Law Firm","Hartford, CT","(860) 527-0800","ccooper@cooperlawfirm.com","https://www.cooperlawfirm.com","Estate Planning; Probate","Connecticut Bar",true
"Judith Richardson","Richardson Estate Law","Burlington, VT","(802) 864-0808","jrichardson@richardsonestatelaw.com","https://www.richardsonestatelaw.com","Estate Planning; Trust Administration","Vermont Bar",true
"Terry Cox","Cox Law Group","Manchester, NH","(603) 668-1971","tcox@coxlawgroup.com","https://www.coxlawgroup.com","Estate Planning; Business Law","New Hampshire Bar",true
"Carolyn Howard","Howard Estate Planning","Portland, ME","(207) 774-0444","choward@howardep.com","https://www.howardep.com","Estate Planning; Elder Law","Maine Bar",true
"Larry Ward","Ward Law Offices","Wilmington, DE","(302) 654-4454","lward@wardlawoffices.com","https://www.wardlawoffices.com","Estate Planning; Probate","Delaware Bar",true
